"Name"	"Zentralobjekt"	"Entfernung"	"Periode"	"Exzentrizitaet"	"Inklination"	"Bahngeschwindigkeit"	"Masse"	"Massenmittel"	"Standardabweichung"
		"x1000km"	"Tage"		"Grad"	"km/s"	"kg"		
"Sonne"	"-"	"-"	"-"	"-"	"-"			1.99E+030	2.19E+028
"Merkur"	"Sonne"	57910	87.97	0.21	7	47.87	1.99E+030		
"Venus"	"Sonne"	108200	226.44	0.01	3.4	34.75	1.96E+030		
"Erde"	"Sonne"	149570	365.22	0.02	0	29.78	1.99E+030		
"Mars"	"Sonne"	227940	693.92	0.09	1.8	23.89	1.95E+030		
"Jupiter"	"Sonne"	778330	4332.12	0	1.3	13.07	1.99E+030	1.90E+027	5.08E+025
"Saturn"	"Sonne"	1429400	10759.5	0.06	2.5	9.66	2.00E+030	5.62E+026	3.85E+025
"Uranus"	"Sonne"	2870990	30685	0.05	0.8	6.8	1.99E+030	8.70E+025	7.43E+023
"Neptun"	"Sonne"	4502057	59786.5	0.01	1.8	5.48	2.02E+030	1.02E+026	4.11E+023
"Pluto"	"Sonne"	5893058	90574.6	0.25	17.1	4.73	1.98E+030		


"Mond"	"Erde"	384.4	27.3	0.05	5.15	1.02	6.04E+024		


"Phobos"	"Mars"	9.38	0.32	0.01	1	2.14	6.43E+023		
"Deimos"	"Mars"	23.45	1.26	0	1.8	1.35	6.42E+023		


"Metis"	"Jupiter"	127.88	0.3	0	0	31.52	1.91E+027		
"Adrastea"	"Jupiter"	128.93	0.3	0	0	31.46	1.91E+027		
"Amalthea"	"Jupiter"	180.98	0.5	0	0.4	26.43	1.90E+027		
"Thebe"	"Jupiter"	221.36	0.68	0.02	1.07	23.85	1.89E+027		
"Io"	"Jupiter"	421.79	1.77	0	0.04	17.33	1.90E+027		
"Europa"	"Jupiter"	670.07	3.55	0.01	0.47	13.73	1.89E+027		
"Ganymede"	"Jupiter"	1069.43	7.15	0	0.2	10.88	1.90E+027		
"Callisto"	"Jupiter"	1839.71	16.7	0.01	0.28	8.01	1.77E+027		
"Themisto"	"Jupiter"	7508.41	130	0.24	43	4.2	1.99E+027		
"Leda"	"Jupiter"	11172.9	239	0.16	26.1	3.4	1.94E+027		
"Himalia"	"Jupiter"	11457.1	251	0.16	27.6	3.32	1.89E+027		
"Lysithea"	"Jupiter"	11711.3	259	0.11	29	3.29	1.90E+027		
"Elara"	"Jupiter"	11741.2	260	0.22	24.8	3.28	1.90E+027		
"S/2000_J11"	"Jupiter"	12563.9	287	0.25	28.3	3.18	1.91E+027		
"S/2001_J10"	"Jupiter"	18995.4	534	0.16	147	2.59	1.91E+027		
"S/2001_J8"	"Jupiter"	20640.7	609	0.48	165	2.46	1.88E+027		
"S/2001_J9"	"Jupiter"	20790.2	617	0.27	142	2.45	1.87E+027		
"S/2001_J2"	"Jupiter"	20790.2	615	0.3	149	2.46	1.88E+027		
"Praxidike"	"Jupiter"	20939.8	617	0.22	149	2.47	1.91E+027		
"S/2001_J7"	"Jupiter"	20939.8	622	0.18	146	2.45	1.88E+027		
"Harpalyke"	"Jupiter"	21089.4	625	0.23	149	2.45	1.90E+027		
"S/2001_J3"	"Jupiter"	21388.5	630	0.25	150	2.47	1.95E+027		
"S/2001_J6"	"Jupiter"	22884.2	715	0.29	165	2.33	1.86E+027		
"S/2001_J4"	"Jupiter"	23332.9	713	0.35	150	2.38	1.98E+027		
"Chaldene"	"Jupiter"	23332.9	734	0.24	165	2.31	1.87E+027		
"S/2001_J11"	"Jupiter"	23332.9	736	0.29	166	2.31	1.86E+027		
"S/2001_J5"	"Jupiter"	23482.5	732	0.45	155	2.33	1.92E+027		
"Pasiphae"	"Jupiter"	23632.1	708	0.41	158	2.43	2.09E+027		
"S/2001_J1"	"Jupiter"	23781.6	752	0.42	152	2.3	1.89E+027		
"Megaclite"	"Jupiter"	23931.2	758	0.43	153	2.3	1.89E+027		
"Callirrhoe"	"Jupiter"	24080.8	759	0.28	147	2.31	1.92E+027		


"Pan"	"Saturn"	133.72	0.58	0	0	16.91	5.73E+026		
"Atlas"	"Saturn"	137.6	0.6	0	0	16.62	5.70E+026		
"Prometheus"	"Saturn"	139.25	0.61	0	0	16.52	5.70E+026		
"Pandora"	"Saturn"	141.64	0.63	0	0	16.4	5.71E+026		
"Epimetheus"	"Saturn"	149.57	0.69	0.01	0.69	15.67	5.51E+026		
"Janus"	"Saturn"	151.07	0.7	0.01	0.14	15.81	5.66E+026		
"Mimas"	"Saturn"	185.47	0.94	0.02	1.53	14.32	5.70E+026		
"Enceladus"	"Saturn"	237.82	1.37	0.05	0.02	12.62	5.68E+026		
"Tethys"	"Saturn"	293.16	1.88	0	1.09	11.34	5.65E+026		
"Telesto"	"Saturn"	294.65	1.89	0	0	11.34	5.68E+026		
"Calypso"	"Saturn"	296.15	1.9	0	0	11.34	5.70E+026		
"Dione"	"Saturn"	376.92	2.74	0	0.02	10	5.66E+026		
"Helene"	"Saturn"	378.41	2.75	0.01	0.02	10.01	5.68E+026		
"Rhea"	"Saturn"	526.49	4.52	0	0.35	8.47	5.66E+026		
"Titan"	"Saturn"	1046.99	15.9	0.03	0.33	4.79	3.60E+026		
"Hyperion"	"Saturn"	1480.74	21.3	0.1	0.43	5.06	5.67E+026		
"Iapetus"	"Saturn"	3559.77	79.3	0.03	14.72	3.26	5.69E+026		
"S/2000_S5"	"Saturn"	11367.3	453	0.16	48.5	1.82	5.68E+026		
"S/2000_S6"	"Saturn"	11442.1	454	0.37	49.2	1.83	5.76E+026		
"Phoebe"	"Saturn"	12952.8	550	0.16	175.3	1.71	5.70E+026		
"S/2000_S2"	"Saturn"	14957	683	0.46	47.1	1.59	5.69E+026		
"S/2000_S8"	"Saturn"	15405.7	712	0.21	148.6	1.57	5.72E+026		
"S/2000_S3"	"Saturn"	16602.3	804	0.31	48.6	1.5	5.61E+026		
"S/2000_S12"	"Saturn"	17798.8	880	0.09	174.8	1.47	5.77E+026		
"S/2000_S11"	"Saturn"	17873.6	888	0.38	34.9	1.46	5.74E+026		
"S/2000_S4"	"Saturn"	17948.4	899	0.64	34.9	1.45	5.67E+026		
